file,frame,field,min_raw,max_raw,mean_raw
LOG00022,I,motor[3],158.0,178.0,164.42118226600985
LOG00022,I,eRPM[0],12.0,260.0,210.41379310344828
LOG00022,I,eRPM[1],12.0,251.0,204.02216748768473
LOG00022,I,eRPM[2],12.0,266.0,212.31896551724137
LOG00022,I,eRPM[3],12.0,263.0,211.8448275862069
LOG00022,G,time,68414491.0,69093858.0,68752768.0
LOG00022,G,GPS_numSat,25.0,26.0,25.2
LOG00022,G,GPS_coord[0],459169283.0,459169284.0,459169283.2
LOG00022,G,GPS_coord[1],168454558.0,168454560.0,168454559.0
LOG00022,G,GPS_altitude,1424.0,1424.0,1424.0
LOG00022,G,GPS_speed,1.0,6.0,3.6
LOG00022,G,GPS_ground_course,58.0,58.0,58.0
LOG00022,H,last_main_time,68414244.0,68414244.0,68414244.0
LOG00022,H,GPS_home[0],459169283.0,459169283.0,459169283.0
LOG00022,H,GPS_home[1],168454560.0,168454560.0,168454560.0
LOG00022,S,last_main_time,68414244.0,69188124.0,68744269.83333333
LOG00022,S,flightModeFlags,0.0,1.0,0.5
LOG00022,S,stateFlags,7.0,7.0,7.0
LOG00022,S,failsafePhase,0.0,0.0,0.0
LOG00022,S,rxSignalReceived,1.0,1.0,1.0
LOG00022,S,rxFlightChannelsValid,1.0,1.0,1.0
LOG00023,I,loopIteration,0.0,1225924.0,612962.0
LOG00023,I,time,88451960.0,390855387.0,239658082.3756338
LOG00023,I,axisP[0],-577.0,300.0,0.016575198543470743
LOG00023,I,axisP[1],-526.0,349.0,-0.28970053706253546
LOG00023,I,axisP[2],-179.0,529.0,0.1905103725504271
LOG00023,I,axisI[0],-160.0,84.0,7.330071586585835
LOG00023,I,axisI[1],-124.0,119.0,-26.13968193890669
LOG00023,I,axisI[2],-219.0,280.0,11.401723429108397
LOG00023,I,axisD[0],-530.0,691.0,0.01782160126859
LOG00023,I,axisD[1],-436.0,476.0,0.004212319157405655
LOG00023,I,axisF[0],-743.0,376.0,-0.011491702612225188
LOG00023,I,axisF[1],-434.0,360.0,0.04273334159918037
LOG00023,I,axisF[2],-288.0,299.0,0.005817633662009514
LOG00023,I,rcCommand[0],-342.0,500.0,-23.026954274639294
LOG00023,I,rcCommand[1],-271.0,500.0,-20.612535157040217
